Category,Service/Usage,Command,Type,Files
QAHosGenericDB,SettingService.fetchEthnicity,ws_MDM_Ethnicity_List,Read,"admissionPatientDetailModal.tsx; app/lib/services/setting.ts"
QAHosGenericDB,SettingService.fetchOccupation,ws_MDM_Occupation_List,Read,"admissionPatientDetailModal.tsx; app/lib/services/setting.ts"
QAHosGenericDB,SettingService.fetchProvince,ws_MDM_Province_Get,Read,"admissionPatientDetailModal.tsx; app/lib/services/setting.ts"
QAHosGenericDB,SettingService.fetchCountry,ws_L_Country_ListV2,Read,"admissionPatientDetailModal.tsx; app/lib/services/setting.ts"
QAHosGenericDB,SettingService.fetch_ws_L_DepartmentRoom_DanhsachTangList,ws_L_DepartmentRoom_DanhsachTangList,Read,"floorSettingUI.tsx; app/lib/services/setting.ts"
QAHosGenericDB,SettingService.ws_L_API_Config_Load,ws_L_API_Config_Load (Integration),Read,"contractDetailUI.tsx; app/lib/services/setting.ts"
QAHosGenericDB,PatientService.fetchListPatientToday,ws_…,Read,"admissionListPatient.tsx"
QAHosGenericDB,PatientService.fetchPatientExaminationHistory,ws_…,Read,"admissionExaminationHistoryModal.tsx"
QAHosGenericDB,PatientService.fetchPatientClinicalSession,ws_…,Read,"admissionExaminationHistoryModal.tsx"
QAHosGenericDB,PatientService.fetch_ws_CN_MDM_Patient_Age_Get,ws_CN_MDM_Patient_Age_Get,Read,"admissionNotificationUI.tsx; app/lib/services/patient.ts"
QAHosGenericDB,PatientService.fetch_ws_MDM_PersonReferredNotification_Today_ByFacID_List,ws_MDM_PersonReferredNotification_Today_ByFacID_List,Read,"admissionNotificationUI.tsx; app/lib/services/patient.ts"
QAHosGenericDB,PatientService.fetch_ws_Vaccine_LichSuTiem,ws_Vaccine_LichSuTiem,Read,"patientHistoryUI.tsx; app/lib/services/patient.ts"
QAHosGenericDB,PatientService.fetch_ws_Vaccine_LichSuTiemVaccine,ws_Vaccine_LichSuTiemVaccine,Read,"patientHistoryUI.tsx; app/lib/services/patient.ts"
QAHosGenericDB,PatientService.fetch_ws_BIL_Invoice_PatientContractPayment_List,ws_BIL_Invoice_PatientContractPayment_List,Read,"patientHistoryUI.tsx"
QAHosGenericDB,PatientService.fetch_ws_CN_ClinicalSessionID_AnotherSource_Vaccine_ByPatientID_List,ws_CN_ClinicalSessionID_AnotherSource_Vaccine_ByPatientID_List,Read,"patientHistoryUI.tsx"
QAHosGenericDB,PatientService.fetchCarrier,ws_…,Read,"admissionUpdateCarrierModal.tsx"
QAHosGenericDB,ConsultationRoomService.fetchConsultationRoom,ws_L_DepartmentRoom_ListForReception,Read,"consultationFeeUI.tsx; consultationFeeComboboxRoomUI.tsx; app/lib/services/consultationRoom.ts"
QAHosGenericDB,ConsultationGridService.fetchConsultationGrid (new pricing),ws_CN_PhysicianAdmissions_GetVIPPhysInDay_List,Read,"consultationFeeUI.tsx; app/lib/services/consultationGrid.ts"
QAHosGenericDB,ConsultationGridService.fetchConsultationGrid (legacy),ws_LayDotKhamGanNhatTrongNgay,Read,"consultationFeeUI.tsx; app/lib/services/consultationGrid.ts"
QAHosGenericDB,VaccineService.fetchVaccinationHistory,ws_…,Read,"admissionSearchPatientHistory.tsx"
