ProcedureSchema,ProcedureName,object_id,CallsView,TablesCalled,ViewsCalled,TIM GIUA SP VA FRONTEND,Note,BUILD,DEPLOYED,FE_API_Category,FE_API_Service/Usage,FE_API_Command,FE_API_Type,FE_API_Files,FE_API_Found OLD
dbo,_job_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen,1070678912,0,"[dbo].[BIL_InvoiceDetail], [dbo].[CN_ClinicalSessions], [dbo].[CN_DoctorDecision], [dbo].[CN_FacAdmissions], [dbo].[CN_FacAdmissionsExt], [dbo].[CN_LabResult], [dbo].[CN_MedicareCard], [dbo].[CN_PhysicianAdmissions], [dbo].[CN_RadiologyResult], [dbo].[Facility], [dbo].[L_CaiDatCauHinh], [dbo].[L_DepartmentRoom], [dbo].[L_DoiTuongTinhTien], [dbo].[L_DoiTuongUuTien], [dbo].[L_PayType], [dbo].[MDM_Patient], [dbo].[TMP_MDM_Patient_LayDanhSachBNNgoaiTru_NewScreen]",,BOQUA,,,,,,,,,
dbo,_ws_INV_Product_UpdateWeightedAvgPriceUnApproved,1086678969,0,,,CHUA_CO,,,,,,,,,
dbo,_ws_JOB_PRECOOK_BaoCaoChiTietDoanhThuVNVC,1102679026,0,,,CHUA_CO,,,,,,,,,
dbo,_ws_Vaccine_DanhSachChoKham_WEb_GM,1118679083,0,"[dbo].[CN_PhysicianAdmissions], [dbo].[MDM_Patient], [dbo].[Vaccine_DanhSachChoKham]",,CHUA_CO,,,,,,,,,
dbo,_ws_Vaccine_DanhSachChoTiem_WEB_GM,1134679140,0,"[dbo].[MDM_Patient], [dbo].[Vaccine_DanhSachChoTiem]",,CHUA_CO,,,,,,,,,
dbo,Create_Table_structure,1150679197,0,,,BOQUA,,,,,,,,,
dbo,GenerateIndexesScript,1166679254,0,,,BOQUA,,,,,,,,,
dbo,GenerateInsert,1182679311,0,,,BOQUA,,,,,,,,,
dbo,JOB_BIL_Invoice_Live_ClearData,1198679368,0,"[dbo].[BIL_Invoice_Live], [dbo].[BIL_InvoiceDetail_Live], [dbo].[Facility]",,BOQUA,,,,,,,,,
dbo,JOB_BIL_Invoice_Live_Part1,1214679425,0,"[dbo].[BIL_Invoice], [dbo].[BIL_Invoice_Live], [dbo].[BIL_InvoiceDetail], [dbo].[BIL_InvoiceDetail_Live], [dbo].[Facility]",,BOQUA,,,,,,,,,
dbo,JOB_BIL_Invoice_Live_Part2,1230679482,0,"[dbo].[BIL_Invoice], [dbo].[BIL_Invoice_Live], [dbo].[BIL_InvoiceDetail], [dbo].[BIL_InvoiceDetail_Live], [dbo].[Facility]",,BOQUA,,,,,,,,,
dbo,JOB_BIL_Invoice_Live_Part3,1246679539,0,"[dbo].[BIL_Invoice], [dbo].[BIL_Invoice_Live], [dbo].[BIL_InvoiceDetail], [dbo].[BIL_InvoiceDetail_Live], [dbo].[Facility]",,BOQUA,,,,,,,,,
dbo,JOB_BIL_Invoice_Live_Part4,1262679596,0,"[dbo].[BIL_Invoice], [dbo].[BIL_Invoice_Live], [dbo].[BIL_InvoiceDetail], [dbo].[BIL_InvoiceDetail_Live], [dbo].[Facility]",,BOQUA,,,,,,,,,
dbo,JOB_BIL_Invoice_Live_Part5,1278679653,0,"[dbo].[BIL_Invoice], [dbo].[BIL_Invoice_Live], [dbo].[BIL_InvoiceDetail], [dbo].[BIL_InvoiceDetail_Live], [dbo].[Facility]",,BOQUA,,,,,,,,,
dbo,JOB_BookingPreCook_INV_PastPeriodProducts,1294679710,0,"[dbo].[Facility], [dbo].[INV_KetChuyen], [dbo].[L_Customer], [dbo].[L_InventoryStock], [dbo].[L_Product], [dbo].[PreCook_INV_PastPeriodProducts]",,BOQUA,,,,,,,,,
